Experiment,Title,Scale,Beta,Seed,Epoch,Val_Acc,Depth_Ratio,GSI,,,,,,,,,
0,Initialization Scaling Study,0.5,0,42,1,0.888175679,4.668469122,0.92529377,,,,,Experiment No.,Scale,Beta,Seed,Average Accuracy
0,Initialization Scaling Study,0.5,0,42,2,0.893897499,5.890713026,0.93105326,,,,,0,0.5,0,42,89.49%
0,Initialization Scaling Study,0.5,0,42,3,0.895253208,4.614558832,0.896691543,,,,,1,0.5,0,123,89.28%
0,Initialization Scaling Study,0.5,0,42,4,0.894404258,4.914705337,0.946660738,,,,,2,0.5,0,999,88.69%
0,Initialization Scaling Study,0.5,0,42,5,0.89489776,5.509920953,0.909924309,,,,,3,0.5,0.05,42,91.06%
0,Initialization Scaling Study,0.5,0,42,6,0.901517156,5.380277482,0.91228753,,,,,4,0.5,0.05,123,90.21%
0,Initialization Scaling Study,0.5,0,42,7,0.887583192,5.938254583,0.916687075,,,,,5,0.5,0.05,999,89.84%
0,Initialization Scaling Study,0.5,0,42,8,0.904602873,4.904550653,0.933939488,,,,,6,0.5,0.1,42,93.00%
0,Initialization Scaling Study,0.5,0,42,9,0.890621936,5.443318011,0.854327426,,,,,7,0.5,0.1,123,92.27%
0,Initialization Scaling Study,0.5,0,42,10,0.897980638,5.695638019,0.853813312,,,,,8,0.5,0.1,999,91.91%
1,Initialization Scaling Study,0.5,0,123,1,0.891945726,5.288458229,0.887558828,,,,,9,0.5,0.2,42,92.23%
1,Initialization Scaling Study,0.5,0,123,2,0.907584677,5.752639229,0.874296065,,,,,10,0.5,0.2,123,91.27%
1,Initialization Scaling Study,0.5,0,123,3,0.873349895,6.111160381,0.89159709,,,,,11,0.5,0.2,999,90.87%
1,Initialization Scaling Study,0.5,0,123,4,0.907177328,5.266684721,0.918160314,,,,,12,1,0,42,93.04%
1,Initialization Scaling Study,0.5,0,123,5,0.906662557,5.175313409,0.843895936,,,,,13,1,0,123,92.45%
